VideoId,Label
TNbK,14 2 7 104 283 174 3657 1964 128 1814
R3bK,0 1 35 134 230 1035 768 48 1901 254
jybK,0 5 1 476 1635 84 1279 2917 1211 180
OtbK,487 0 1 890 42 102 93 139 35 851
UubK,7 2 2742 1038 1158 224 104 757 3275 171
QsbK,5 618 3226 405 16 1312 1140 2662 2576 3639
UvbK,1069 749 11 3383 100 579 229 12 1107 2592
dwbK,25 379 16 337 1100 2811 595 709 1116 2372
y2bK,80 49 277 127 418 866 1108 725 50 65
EUbK,26 1095 259 15 875 673 353 3065 203 105
fKbK,0 1 35 2893 517 354 2171 180 349 1327
1FbK,14 6 828 2295 3 944 4 847 128 578
csbK,4 3 10 9 13 6 28 54 34 1830
IybK,141 990 964 1526 311 396 746 238 511 668
OdbK,468 1342 146 824 984 971 798 592 732 1243
GBbK,58 53 1894 232 17 163 228 143 166 2
mjbK,0 719 1 153 180 2339 828 124 219 968
65bK,8 846 0 1317 1424 329 1292 2260 79 537
nobK,463 15 18 96 708 1812 2298 818 314 170
UabK,0 1 1665 139 1135 241 486 81 42 337
iMbK,2 51 45 137 75 298 83 56 7 77
4gbK,9 7 889 2 1493 1537 2753 1905 585 197
J6bK,27 0 1 192 294 88 2267 1021 3815 2799
pCbK,14 71 191 308 88 248 152 1074 3435 299
ERbK,97 10 4 243 3 31 47 351 278 13
c3bK,386 31 40 2137 41 57 97 1461 300 1981
O3bK,2 7 508 197 316 1670 344 99 196 531
90bK,8 6 3 4 13 807 71 726 2938 2967
MhbK,1 0 331 36 192 105 183 455 142 132
jbbK,0 1 643 217 42 1077 271 193 412 611
ejbK,2 2251 55 135 17 30 95 345 1334 583
hYbK,2 7 17 30 443 83 55 1808 90 128
epbK,522 2 7 3481 1561 44 580 821 252 899
kubK,0 5 1 16 3354 254 3769 1903 354 3167
fNbK,25 2951 2 429 315 52 205 14 46 16
0zbK,5 16 1 613 1303 0 1064 872 1231 1033
sfbK,33 28 31 38 4 40 47 78 13 257
1NbK,67 18 140 15 699 2212 39 7 2209 21
HhbK,246 588 658 1329 1462 24 1730 2777 74 15
CJbK,4 10 9 3 13 34 351 6 970 154
AnbK,14 7 2 197 146 508 749 99 1625 224
t8bK,14 31 71 61 1109 592 152 25 308 2308
g8bK,1 0 387 774 124 294 132 1422 153 2435
vsbK,238 18 59 274 43 2 366 773 158 284
WfbK,759 0 93 102 5 1 3045 1319 865 3469
DabK,0 1 189 35 438 1100 282 337 777 960
uibK,159 2360 1 0 2022 935 626 2919 1231 3376
00bK,3 6 4 141 324 1107 54 396 1189 414
dWbK,479 0 62 1 193 963 2898 203 3683 1424
xMbK,52 125 70 0 690 578 12 28 1786 1681
hxbK,4 13 33 3 28 78 38 539 257 9
T4bK,2 7 428 1389 519 2230 871 313 291 995
ExbK,3022 8 6 944 726 69 432 3822 2016 11
WvbK,1 0 1116 337 960 36 35 147 582 357
7ubK,496 187 1728 200 736 74 914 1896 275 1730
HKbK,5 1312 16 1862 1524 973 744 362 1481 3625
fJbK,2 45 298 51 1805 56 7 137 1378 77
gsbK,8 3 6 161 100 433 28 92 13 2602
ZkbK,487 0 42 1 890 670 102 93 290 431
dBbK,31 47 40 57 626 1024 159 744 2072 628
