VideoId,Label
mpaa,5 1 0 597 16 69 378 301 1312 1612
inaa,412 215 0 447 1 217 643 81 61 739
VNaa,14 61 749 266 6 197 662 25 531 2
qEaa,492 57 40 31 117 2040 150 1558 1231 868
Q0aa,31 40 57 47 5 117 1149 2347 405 301
kZaa,170 18 314 15 862 1263 2444 1360 67 1247
Ejaa,3 433 324 89 6 61 2 237 3824 13
Iuaa,133 29 2002 32 20 11 22 246 1288 195
RDaa,270 304 646 993 824 291 1 616 673 1769
cgaa,66 332 225 521 6 293 1499 8 1876 3
sxaa,1 187 74 617 105 192 736 21 510 590
Y9aa,159 1504 1315 626 1726 1 1390 1773 1419 0
bKaa,27 0 1 3700 35 244 1868 2267 294 3612
LEaa,304 15 2678 26 180 81 2341 18 288 268
hKaa,24 23 21 115 718 73 471 775 1160 1
ZDaa,418 80 50 39 933 146 725 994 1127 65
Vyaa,1949 110 1737 884 1463 8 1028 0 1147 369
xQaa,148 766 15 304 1210 270 641 859 887 794
bdaa,0 12 110 369 118 8 52 705 1737 2260
QLaa,15 87 18 244 1751 545 2686 333 60 536
16aa,325 133 16 6 2671 921 225 2684 468 268
Bcaa,20 11 22 176 250 123 211 576 32 29
qUaa,3 8 6 14 1078 4 939 806 248 3824
OGaa,26 130 435 636 610 354 16 593 223 379
xvaa,10 4 9 34 6 3 31 47 13 395
zuaa,133 6 282 325 3 2671 1027 8 1338 4
bmaa,3 6 28 4 13 38 33 54 10 324
Kxaa,66 39 3224 382 2935 332 839 817 148 648
55aa,2 75 56 218 208 7 3125 1425 1205 197
44aa,31 47 40 57 1981 309 2556 260 386 157
MLaa,9 10 4 34 14 99 1075 638 37 1109
C8aa,0 5 1 769 2235 52 16 2990 234 81
t1aa,17 19 3692 345 75 902 2 128 172 7
pOaa,5 16 2801 442 3670 1481 1478 769 3496 2273
8Iaa,2282 1 0 1529 3462 35 192 294 431 25
qkaa,59 18 43 101 2 76 1685 15 419 60
ohaa,0 12 63 336 633 689 1 335 1281 167
nnaa,21 23 24 858 73 343 115 3364 520 288
dbaa,6 8 346 807 383 894 1727 3 642 911
Ggaa,1059 61 275 40 117 599 57 1800 3575 2933
FVaa,459 242 0 254 1 470 35 134 88 186
H8aa,0 1 5 69 568 404 236 2017 476 25
z4aa,3 4 28 13 33 324 38 6 89 9
XUaa,223 264 46 155 180 1 44 110 124 2
S9aa,3 6 4 8 1024 13 894 10 84 558
ZLaa,0 1 1722 42 111 3073 3462 1562 431 2675
WWaa,242 254 470 0 2990 3674 459 1 15 1174
KKaa,9 10 550 4 2261 34 351 889 2958 2047
X3aa,5 2973 977 268 682 16 645 2010 921 354
tfaa,2576 54 25 4 1679 3597 13 1395 126 870
d1aa,0 5 1 1183 733 769 409 16 609 1034
Vzaa,226 1233 1426 696 210 3634 1234 874 705 92
M1aa,43 11 15 499 347 2091 18 363 1363 59
yJaa,3 324 89 4 13 3824 201 28 237 2746
B0aa,298 304 53 58 667 88 1945 21 313 429
kCaa,0 1 856 241 887 183 192 670 35 2339
bUaa,45 51 56 295 77 212 2 1052 137 2572
qGaa,308 13 459 4 205 14 3 8 1195 41
3oaa,0 93 102 1 1562 111 1802 1336 1817 959
n6aa,657 0 1 1465 220 276 302 1868 1990 677
QGaa,646 982 270 1507 2 7 869 251 2386 291
gAaa,21 23 24 718 775 73 2615 2454 1329 786
O8aa,2900 1 1970 0 317 124 153 1780 294 1084
uKaa,20 11 462 1772 637 250 123 39 22 229
DBaa,1 0 36 142 94 147 132 185 180 423
DUaa,225 175 2 2736 99 296 406 2544 16 201
eaaa,8 71 1755 6 383 152 61 206 3 849
6gaa,71 152 14 944 1640 8 176 849 1969 1195
rLaa,0 1 35 63 438 562 1051 241 1538 2171
eEaa,12 310 451 1107 349 2168 25 0 237 52
xWaa,6 3 8 28 206 13 4 1036 834 414
7yaa,3 433 61 89 141 6 1003 1078 2 324
afaa,3 4 6 10 28 38 33 9 324 13
Cyaa,1237 569 73 1676 146 453 291 21 209 106
5iaa,2630 11 20 996 1201 123 368 250 229 2545
8faa,648 382 50 66 434 65 763 39 1527 2231
xPaa,0 27 1 590 607 245 294 657 306 486
efaa,300 1236 714 451 282 25 1 0 864 717
ZUaa,1127 25 1 1362 16 3201 35 0 282 2138
X7aa,1044 1090 15 509 1102 363 861 18 2794 532
3taa,1836 230 35 25 1169 1 0 85 799 2523
qVaa,143 19 30 17 724 1437 2 166 340 284
51aa,72 68 98 151 240 480 60 3758 166 3199
Raaa,53 58 214 163 228 3147 2 495 43 340
n4aa,0 1 5 744 2940 69 16 183 362 35
3Oaa,1626 96 1795 15 789 239 2995 1627 1466 451
MKaa,63 0 1 167 921 287 189 105 2813 192
bVaa,9 10 4 34 840 37 3271 13 2756 2996
aHaa,1 0 1885 5 35 2267 1826 354 943 2912
UMaa,10 97 278 4 243 9 13 552 34 870
thaa,11 229 1049 20 511 750 277 1042 3508 625
2baa,4 10 9 3 34 13 6 539 28 2656
Aiaa,8 206 650 97 812 50 6 698 261 846
6Laa,3049 304 3691 180 270 2 7 1210 223 3831
Rraa,489 776 1 337 960 2013 407 49 25 861
z3aa,493 50 933 65 998 698 256 503 39 1145
zWaa,39 648 817 2320 66 148 453 26 2677 986
Vkaa,16 136 726 414 6 1690 25 1034 8 1594
lvaa,3 324 89 9 4 10 13 28 201 61
wUaa,35 1 0 134 1327 337 2865 1778 436 517
kRaa,2 165 7 196 172 75 95 469 1144 235
1Caa,191 299 88 11 184 364 1013 985 1159 248
hSaa,2 7 90 83 1741 810 531 1695 165 196
TRaa,0 1268 5 1 319 1635 81 1654 826 1915
AAaa,68 72 151 17 2 19 82 125 448 12
2oaa,8 71 1652 6 89 225 3473 201 152 3
Yuaa,0 1 1521 395 203 247 105 535 35 409
9Caa,12 99 1107 52 705 71 14 1189 237 689
GTaa,0 1 8 1902 868 193 62 815 1641 19
Uoaa,123 71 176 8 1411 2867 441 16 293 152
dBaa,12 0 1937 226 237 1281 523 1224 689 675
Lcaa,4 9 37 10 2427 188 3 33 28 889
iBaa,210 60 333 53 685 696 166 58 0 12
ajaa,5 16 1064 0 3670 3687 983 2182 1082 978
Zfaa,110 92 329 369 2494 1737 1463 884 8 2384
V9aa,35 0 85 1 134 354 3612 1445 654 768
2Kaa,32 22 20 11 29 112 122 221 472 2087
dwaa,7 2 116 266 171 224 2784 197 702 165
cWaa,1507 251 1133 1464 26 326 569 1320 400 861
ePaa,1557 17 837 2 30 143 19 55 340 284
j4aa,493 50 332 66 1212 148 700 933 65 146
ugaa,53 58 228 163 151 166 60 2158 1894 232
4Kaa,667 179 1009 7 2 186 429 146 1550 2097
Y8aa,479 0 62 193 1 963 105 2675 3683 215
Keaa,4 9 10 37 34 2261 889 13 421 3
mRaa,1534 0 2607 192 36 304 52 352 142 94
XLaa,16 5 26 442 932 1568 1594 445 194 1609
yCaa,956 0 26 1481 1524 2347 817 596 5 1
E7aa,418 49 725 80 1108 5 127 25 1623 14
HSaa,3 4 9 10 6 13 324 28 433 34
dzaa,31 40 57 47 3818 117 386 2347 1609 626
eGaa,588 21 629 88 23 275 242 470 1871 24
ibaa,2653 1377 535 649 9 159 1335 50 362 3313
NBaa,0 12 705 52 237 70 1 432 261 675
pgaa,2 7 104 48 224 1217 17 566 196 373
yBaa,19 17 394 2 56 448 1 48 272 51
rnaa,25 315 1 14 847 11 22 32 505 29
N7aa,1262 3318 105 183 1100 455 1 488 192 189
wTaa,99 716 1630 92 252 413 1127 41 3089 555
qSaa,6 10 4 3 9 34 944 8 206 1830
ERaa,179 667 195 511 1550 1009 2214 12 252 364
D4aa,0 2921 1 319 1319 3091 1385 2617 102 1922
6Gaa,814 2867 176 11 1411 71 123 683 498 1379
g1aa,522 1561 2 191 7 3847 749 580 11 3447
4Iaa,6 3 8 13 4 414 2090 1690 2102 2839
KBaa,64 113 119 44 46 2 848 155 1926 425
Weaa,68 72 14 151 452 231 11 1051 480 907
ctaa,8 6 3 894 812 834 206 835 690 558
LRaa,56 51 45 2 77 46 295 137 212 592
